edad,qx_h_t1,qx_m_t1,qx_h_t2,qx_m_t2
0,0.00225,0.00165,0.00165,0.00133
1,0.00225,0.00165,0.00166,0.00133
2,0.00226,0.00165,0.00166,0.00133
3,0.00227,0.00165,0.00167,0.00133
4,0.00228,0.00165,0.00168,0.00133
5,0.0023,0.00165,0.00169,0.00133
6,0.00231,0.00165,0.0017,0.00133
7,0.00233,0.00166,0.00172,0.00134
8,0.00236,0.00166,0.00173,0.00134
9,0.00238,0.00166,0.00175,0.00134
10,0.00241,0.00167,0.00177,0.00135
11,0.00244,0.00168,0.0018,0.00135
12,0.00248,0.00168,0.00182,0.00136
13,0.00252,0.00169,0.00185,0.00137
14,0.00256,0.0017,0.00188,0.00137
15,0.0026,0.00171,0.00191,0.00138
16,0.00265,0.00172,0.00195,0.00139
17,0.0027,0.00174,0.00199,0.0014
18,0.00276,0.00175,0.00203,0.00142
19,0.00281,0.00177,0.00207,0.00143
20,0.00288,0.00179,0.00211,0.00144
21,0.00294,0.00181,0.00216,0.00146
22,0.00301,0.00183,0.00221,0.00148
23,0.00309,0.00185,0.00227,0.0015
24,0.00317,0.00188,0.00233,0.00152
25,0.00325,0.00191,0.00239,0.00154
26,0.00334,0.00194,0.00246,0.00157
27,0.00344,0.00197,0.00252,0.00159
28,0.00354,0.00201,0.0026,0.00162
29,0.00364,0.00205,0.00268,0.00165
30,0.00376,0.00209,0.00276,0.00169
31,0.00388,0.00213,0.00285,0.00172
32,0.004,0.00218,0.00294,0.00176
33,0.00414,0.00223,0.00304,0.0018
34,0.00428,0.00229,0.00315,0.00185
35,0.00443,0.00235,0.00326,0.0019
36,0.00459,0.00241,0.00338,0.00195
37,0.00476,0.00248,0.0035,0.002
38,0.00494,0.00255,0.00363,0.00206
39,0.00514,0.00263,0.00378,0.00213
40,0.00534,0.00272,0.00392,0.0022
41,0.00556,0.00281,0.00408,0.00227
42,0.00579,0.00291,0.00425,0.00235
43,0.00603,0.00302,0.00443,0.00244
44,0.00629,0.00313,0.00462,0.00253
45,0.00656,0.00325,0.00482,0.00263
46,0.00685,0.00339,0.00504,0.00274
47,0.00717,0.00353,0.00527,0.00285
48,0.0075,0.00368,0.00551,0.00298
49,0.00785,0.00385,0.00577,0.00311
50,0.00822,0.00403,0.00604,0.00326
51,0.00862,0.00423,0.00634,0.00341
52,0.00905,0.00444,0.00665,0.00359
53,0.0095,0.00467,0.00698,0.00377
54,0.00998,0.00491,0.00734,0.00397
55,0.0105,0.00518,0.00772,0.00419
56,0.01105,0.00547,0.00812,0.00442
57,0.01164,0.00579,0.00855,0.00468
58,0.01227,0.00614,0.00902,0.00496
59,0.01294,0.00652,0.00951,0.00526
60,0.01365,0.00693,0.01004,0.0056
61,0.01442,0.00738,0.0106,0.00596
62,0.01524,0.00787,0.0112,0.00636
63,0.01612,0.00841,0.01185,0.00679
64,0.01706,0.009,0.01254,0.00727
65,0.01807,0.00964,0.01328,0.00779
66,0.01915,0.01035,0.01408,0.00837
67,0.02031,0.01114,0.01493,0.009
68,0.02155,0.012,0.01584,0.00969
69,0.02289,0.01295,0.01682,0.01046
70,0.02432,0.014,0.01787,0.01131
71,0.02585,0.01516,0.019,0.01225
72,0.0275,0.01645,0.02022,0.01329
73,0.02928,0.01787,0.02152,0.01444
74,0.03119,0.01945,0.02292,0.01572
75,0.03324,0.02121,0.02443,0.01714
76,0.03544,0.02317,0.02605,0.01872
77,0.03781,0.02534,0.02779,0.02048
78,0.04036,0.02777,0.02967,0.02244
79,0.04311,0.03049,0.03168,0.02463
80,0.04606,0.03352,0.03386,0.02708
81,0.04924,0.03691,0.03619,0.02983
82,0.05267,0.04071,0.03871,0.0329
83,0.05635,0.04497,0.04142,0.03634
84,0.06032,0.04975,0.04433,0.0402
85,0.06459,0.05511,0.04747,0.04453
86,0.06919,0.06113,0.05085,0.0494
87,0.07413,0.06789,0.05449,0.05486
88,0.07945,0.07549,0.0584,0.06099
89,0.08517,0.08402,0.0626,0.06789
90,0.09132,0.09359,0.06712,0.07562
91,0.09793,0.10433,0.07198,0.0843
92,0.10503,0.11636,0.0772,0.09402
93,0.11265,0.12982,0.0828,0.10489
94,0.12083,0.14485,0.08881,0.11704
95,0.12958,0.16159,0.09524,0.13057
96,0.13896,0.18019,0.10213,0.14559
97,0.14898,0.20076,0.1095,0.16222
98,0.15968,0.22344,0.11737,0.18054
99,0.1711,0.24829,0.12576,0.20062
100,0.18326,0.27538,0.1347,0.22251
101,0.19619,0.30471,0.1442,0.24621
102,0.20991,0.33622,0.15428,0.27167
103,0.22444,0.36979,0.16497,0.29879
104,0.2398,0.40523,0.17625,0.32742
105,0.25599,0.44225,0.18815,0.35734
106,0.27302,0.48051,0.20067,0.38825
107,0.29087,0.51958,0.21379,0.41982
108,0.30955,0.55899,0.22752,0.45166
109,0.32901,0.59824,0.24183,0.48338
110,1,1,1,1
